Number,Type,Skin,NumberTraits,Traits,Rarity,HiddenTraits,Owner
0,Female,Mid-skinned,3,"['Blonde Bob', 'Earring', 'Green Eye Shadow']",2023,['Hidden Earring'],0xE08c32
1,Male,Dark-skinned,2,"['Mohawk', 'Smile']",4352,,0xB88F61
2,Female,Light-skinned,1,['Wild Hair'],8090,,0x897aEA
3,Male,Dark-skinned,3,"['Nerd Glasses', 'Pipe', 'Wild Hair']",7896,,0xC352B5
4,Male,Mid-skinned,4,"['Big Shades', 'Earring', 'Goat', 'Wild Hair']",7332,,0xC352B5
5,Female,Mid-skinned,3,"['Earring', 'Half Shaved', 'Purple Eye Shadow']",1960,['Hidden Earring'],
6,Male,Mid-skinned,1,['Do-rag'],7425,,0xC352B5
7,Female,Mid-skinned,3,"['Clown Eyes Blue', 'Spots', 'Wild White Hair']",866,,0xC352B5
8,Male,Dark-skinned,2,"['Luxurious Beard', 'Messy Hair']",6530,,0xC352B5
9,Male,Mid-skinned,3,"['Big Beard', 'Clown Nose', 'Police Cap']",1761,,0xC352B5
10,Female,Dark-skinned,2,"['Blue Eye Shadow', 'Mohawk']",5668,,0xC352B5
11,Female,Mid-skinned,3,"['Black Lipstick', 'Clown Eyes Green', 'Straight Hair Dark']",2565,,0xC352B5
12,Female,Dark-skinned,2,"['Blonde Short', 'Purple Lipstick']",1201,,0xC352B5
13,Female,Light-skinned,3,"['Big Shades', 'Black Lipstick', 'Straight Hair Blonde']",1657,,0xC352B5
14,Female,Dark-skinned,3,"['Hot Lipstick', 'Pilot Helmet', 'Pipe']",155,,0x7C00c9
15,Male,Albino-skinned,3,"['Luxurious Beard', 'Regular Shades', 'Wild Hair']",6494,,0xC352B5
16,Male,Mid-skinned,3,"['Earring', 'Small Shades', 'Stringy Hair']",8315,,0xC352B5
17,Male,Light-skinned,2,"['Frown', 'Mohawk']",5303,,0xC352B5
18,Male,Mid-skinned,2,"['Eye Mask', 'Muttonchops']",4458,,0xC352B5
19,Female,Dark-skinned,3,"['Bandana', 'Horned Rim Glasses', 'Hot Lipstick']",9915,,0xC352B5
20,Male,Light-skinned,1,['Crazy Hair'],8045,,0xC352B5
21,Male,Light-skinned,3,"['Classic Shades', 'Earring', 'Messy Hair']",9607,,0xC352B5
22,Female,Dark-skinned,2,"['Pilot Helmet', 'Purple Lipstick']",183,,0xC352B5
23,Male,Light-skinned,3,"['Do-rag', 'Earring', 'Handlebars']",5480,,0xC352B5
24,Male,Light-skinned,2,"['Mohawk Dark', 'Smile']",4341,,0xC352B5
25,Female,Dark-skinned,1,['Wild White Hair'],1268,,0xC352B5
26,Female,Mid-skinned,1,['Dark Hair'],3027,,0xC352B5
27,Male,Light-skinned,2,"['Earring', 'Peak Spike']",7831,,0xC352B5
28,Male,Dark-skinned,2,"['Big Shades', 'Crazy Hair']",8763,,0xC352B5
29,Female,Mid-skinned,3,"['Earring', 'Half Shaved', 'Horned Rim Glasses']",2297,['Hidden Earring'],0xC352B5
