Type,From,To,Amount,Transaction,Number
Bid withdrawn,0x983ace,,250.0Ξ,"May 10, 2021 0x0987ef",0
Bid,0x983ace,,250.0Ξ,"Apr 11, 2021 0xdbf1a0",0
Bid withdrawn,0xd7510a,,100.0Ξ,"Mar 3, 2021 0x580c05",0
Bid,0xd7510a,,100.0Ξ,"Feb 21, 2021 0x5377c3",0
Bid withdrawn,0x63a9db,,69.0Ξ,"Sep 16, 2020 0xbce1fe",0
Bid,0x63a9db,,69.0Ξ,"Sep 15, 2020 0x140f1a",0
Bid withdrawn,0x63a9db,,49.0Ξ,"Jan 11, 2020 0x9f42a4",0
Bid,0x63a9db,,49.0Ξ,"Jan 9, 2020 0x2cfa7c",0
Bid withdrawn,0x63a9db,,44.0Ξ,"Jan 8, 2020 0x7fbe84",0
Bid,0x63a9db,,44.0Ξ,"Dec 30, 2019 0xb51da6",0
Bid withdrawn,0x63a9db,,0.01Ξ,"Dec 30, 2019 0xdf8d87",0
Bid,0x63a9db,,0.01Ξ,"Dec 30, 2019 0xc9a439",0
Bid withdrawn,0x7D438b,,18.5Ξ,"May 23, 2019 0x7c9e27",0
Bid,0x7D438b,,18.5Ξ,"May 22, 2019 0xb0cc71",0
Bid withdrawn,0xf7EE6C,,40.0Ξ,"Apr 2, 2019 0x2a98ef",0
Bid,0xf7EE6C,,40.0Ξ,"Apr 2, 2019 0x08318f",0
Sold,0xF5099e,0xe08c32,25.0Ξ,"Nov 30, 2018 0x5687d0",0
Bid,0xE08c32,,25.0Ξ,"Nov 30, 2018 0x6db0f7",0
Offered,,,100.0Ξ,"Sep 12, 2018 0x5532db",0
Offered,,,200.0Ξ,"Dec 16, 2017 0xdc89aa",0
Bid,0x7760E0,,13.000000000000000001Ξ,"Jul 8, 2017 0x63896e",0
Bid,0x00d7C9,,13.0Ξ,"Jul 7, 2017 0x5e61c5",0
Offered,,,400.0Ξ,"Jul 7, 2017 0xd1b7cc",0
